identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
robertscamera-33db4814c7fd979fec762e870f3eace9,Sony 		Cyber-shot WX70 Camera Bundle,USD,219.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-354f5c63d1fb0d37a4fd015af92d11ec,Panasonic 		DMC-GF3 with 14-42mm Lens,USD,549.97,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-36c2194a4f7a92c0f061c4b95ed97780,Canon 		VIXIA HF S30 Flash Memory Camcorder,USD,999.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-37129c48eabb43bb264e3da0ddea31ba,Canon 		XF200 High Definition Camcorder,USD,3499,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3962824e0c1babd08d8e736abc83d0c3,Promaster 		MyMuvi FaceCam HD,USD,24.97,Promaster,new,https://schema.org/InStock,,,,,,,,,
robertscamera-39eb02a843293203cd3bc9231ea9d704,Sony 		Cybershot DSC-TX30,USD,299.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3a5881166edc8b327edf37ee6ef35a0c,Canon 		EOS Rebel SL1 with 18-55mm IS STM,USD,699.99,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-3bd31992af0837277ecb901dbc2ff438,Sony 		HDR-PJ540 Handycam Camcorder,USD,699.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3be6010a4bd545410d578dbea4e751a2,Canon 		EOS 5D Mark III with EF 24-70mm f/4 IS,USD,2749,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3cca3972bd78e3ef1a2834eb7b9f960b,Canon 		Vixia HF R70,USD,399.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3ceefb9690fe515751bdea0b7c3deead,Panasonic 		Lumix DMC-FZ70K Digital Camera,USD,299.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-3eaf1748b66a39658783124b5da7e766,Nikon 		D5 (Body Only),USD,6496.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-3fc0ad8bdd9cb2e28f7eb3b33a6a0e0d,FujiFilm 		X30,USD,499.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-405e708cdb4c5047bc052710b31d0947,Blackmagic Design 		Pocket Cinema Camera (Body Only),USD,995,Blackmagic Design,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-40dabbeeabf68f98b3e03f024b17f1b6,Nikon 		Coolpix S6800,USD,169.97,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-414d8d7628786886ed76be418ab83024,Blackmagic Design 		URSA Mini 4.6K (EF Mount),USD,4995,Blackmagic Design,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-419866d79d5393c16d410d173d0a8237,Sony 		Cyber-shot DSC-HX90,USD,449.99,Sony,new,https://schema.org/InStock,,,,,,,,,
robertscamera-427ede77074170f85d7aba2c3750380f,Nikon 		Coolpix P900,USD,596.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-42ce0da68a6fb3a2da54200865136459,Olympus 		SH-50 iHS,USD,299.99,Olympus,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4363c31fc92a4ba84c3f234efc3a06ae,Canon 		VIXIA HF R50 Camcorder,USD,399,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-441fbb1c8b89156b72c5b419a36d17da,Leica 		D-LUX [Typ 109] Digital Camera,USD,1095,Leica,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-44a8120791297080fa92fa34212eaa17,Blackmagic Design 		Production Camera 4K EF,USD,2995,Blackmagic Design,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-44dcb13faacbe458b382cfd6bf203617,Canon 		PowerShot SX410 IS,USD,199,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-44e246a2bb73664ec325eb6cd5fb1c06,Canon 		Vixia HF R200 HD Camcorder,USD,329.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-469a63e254bc0205c1552b9906ed5d08,Sony 		a7R (Body Only),USD,1898,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4738643f8c487d4824c47eac8ea77a4c,Canon 		EOS 6D with EF 24-105mm f/4L IS USM,USD,2299,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4764aaf4d60369c631dba1f58313bb01,FujiFilm 		X-T2 with 18-55mm,USD,1899.95,FujiFilm,new,https://schema.org/InStock,,,,,,,,,
robertscamera-488a1daf816f428abd7d13b6f6df4b43,Nikon 		D5500 with AF-P 18-55mm VR and 70-300mm non-VR (Black),USD,1146.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-48ce6d48821faa8014a6f1e6e1f3c578,Sony 		Cyber-shot DSC-RX1R II,USD,3299.99,Sony,new,https://schema.org/InStock,,,,,,,,,
robertscamera-4943fdb2df1aa0bcd7ab42f8e2c30217,Canon 		EOS 60D with 18-135mm IS,USD,1199,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4951b799d75d43e4518127403a1e8a44,Sony 		Cyber-shot RX100 V,USD,949.99,Sony,new,https://schema.org/InStock,,,,,,,,,
robertscamera-4a6c071fa1a9e2afb5a2639f2425481f,Canon 		EOS Rebel T6 with 18-55mm II,USD,449.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4c4036fec67387d672295fd873416b44,Olympus 		OM-D E-M10 Mark II Limited Edition,USD,899.99,Olympus,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4ce5b0c35521fb42035160e15a4c19a4,Panasonic 		Lumix DMC-GX8 (Body Only),USD,1199.99,Panasonic,new,https://schema.org/InStock,,,,,,,,,
robertscamera-4d513017fcc8ff504e2064286784b782,Nikon 		D3400 with 18-55mm VR Lens,USD,496.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-4d613a3cbae052e777f993aaa05243ee,JVC 		GY-HM620 ProHD Mobile News Camera,USD,2925,JVC,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4f008f957189ac1d79066ae9bbf28cd1,Samsung 		WB350 Smart Camera,USD,259.99,Samsung,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4f51273b1eadff92c6aaf84e922812f8,Panasonic 		Lumix DMC-ZS45 (Black),USD,299.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-4fd8ccec4d2946d2107c9c176df87621,FujiFilm 		X-T10 with 18-55mm,USD,699,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-50a83e8770bb1e6e94adb8c1983ee3b2,Canon 		EOS M Digital Camera with EF-M 22mm f/2 STM,USD,599,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-50d38765d0014d67c4c7203823c2e139,Sony 		a5100 (Body Only) (Black),USD,448,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5100388af05e8978bc649760bfae04ce,Olympus 		PEN E-PL5 (Body Only),USD,349.99,Olympus,new,https://schema.org/InStock,,,,,,,,,
robertscamera-51c24aa7c272a0a8da29eb50f9f7c2c7,Sony 		HDR-CX220 Handycam,USD,249.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-5281db2c64f8163b892262ae2fbbb7a0,Panasonic 		DMC-ZS30 WiFi Enabled Compact Long Zoom Camera,USD,399.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-528cf20551cad51edfedca7b5a34a2f1,Nikon 		D750 (Body Only),USD,1796.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-542398b3b2fb83c13d6c5d8f38ce7720,Sony 		HDR-PJ760V Handycam Camcorder,USD,1599.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-54744c7789df13590cd8356eb3cf86b4,Nikon 		1 AW1 with 11-27.5mm  and 10mm Lenses (Black),USD,996.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
